Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Price_MA_24,Demand_MA_24
2022-11-01,8.5,13.3,3.0,44.0,12.0,64,13,991.3,13.2,59.0,11.0,991.5,207429.46,,,,,,,,,,,,,,
2022-11-02,6.9,15.7,2.8,43.0,11.0,65,9,1006.7,15.1,54.0,13.0,1008.4,233630.93,,,,,,,,,,,,,,
2022-11-03,9.1,15.4,0.4,31.0,11.5,70,9,1019.2,13.8,67.0,9.0,1021.3,235672.34,,,,,,,,,,,,,,
2022-11-04,10.2,17.8,0.2,24.0,12.3,84,6,1028.1,16.9,56.0,9.0,1026.6,224895.28,,,,,,,,,,,,,,
2022-11-05,11.8,22.7,0.0,31.0,14.0,78,9,1026.3,18.8,65.0,11.0,1023.2,189190.35,,,,,,,,,,,,,,
2022-11-06,11.6,27.1,0.0,33.0,17.9,63,9,1023.2,26.2,33.0,4.0,1019.9,177519.43,,,,,,,,,,,,,,
2022-11-07,13.9,25.9,0.0,24.0,19.7,64,4,1021.1,20.2,66.0,9.0,1019.1,210721.33,,,,,,,,,,,,,,
2022-11-08,14.6,27.6,0.0,35.0,21.8,57,15,1018.2,25.8,43.0,6.0,1015.9,215059.09,,,,,,,,,,,,,,
2022-11-09,15.6,29.3,2.8,35.0,20.8,67,13,1018.8,28.3,37.0,13.0,1015.4,216235.49,,,,,,,,,,,,,,
2022-11-10,19.8,26.4,0.0,54.0,23.8,50,17,1013.8,25.1,44.0,20.0,1011.7,222350.1,,,,,,,,,,,,,,
2022-11-11,18.7,20.2,3.0,30.0,18.7,80,11,1011.0,18.2,81.0,15.0,1010.4,224000.36,,,,,,,,,,,,,,
2022-11-12,14.2,19.3,0.0,26.0,15.7,69,7,1014.3,17.6,66.0,13.0,1010.9,188189.75,,,,,,,,,,,,,,
2022-11-13,15.4,24.8,6.6,44.0,19.1,88,9,1001.8,24.3,59.0,19.0,998.6,186415.69,,,,,,,,,,,,,,
2022-11-14,13.0,17.4,13.6,41.0,15.3,78,13,997.1,15.0,87.0,13.0,1003.6,210180.05,,,,,,,,,,,,,,
2022-11-15,8.0,13.1,14.2,43.0,10.1,72,7,1013.1,10.8,72.0,17.0,1013.1,222500.17,,,,,,,,,,,,,,
2022-11-16,7.2,14.8,0.6,43.0,11.0,64,11,1015.1,13.9,51.0,15.0,1015.9,229445.13,,,,,,,,,,,,,,
2022-11-17,9.6,16.3,3.2,33.0,13.1,71,13,1019.3,15.5,63.0,13.0,1018.7,229456.99,,,,,,,,,,,,,,
2022-11-18,7.2,24.5,0.0,28.0,12.5,70,7,1016.6,22.0,47.0,11.0,1010.9,202104.95,,,,,,,,,,,,,,
2022-11-19,12.5,22.3,0.0,59.0,19.3,52,9,1003.1,18.3,65.0,19.0,997.6,193709.44,,,,,,,,,,,,,,
2022-11-20,11.8,20.6,16.0,50.0,14.3,63,15,998.2,19.4,36.0,15.0,997.1,170252.78,,,,,,,,,,,,,,
2022-11-21,9.4,13.8,1.2,57.0,11.2,51,24,1001.8,11.8,64.0,17.0,1005.1,221336.77,,,,,,,,,,,,,,
2022-11-22,8.7,18.2,2.0,37.0,12.7,68,13,1012.9,18.0,58.0,9.0,1012.3,226370.66,,,,,,,,,,,,,,
2022-11-23,11.6,17.7,0.6,30.0,14.7,65,11,1015.6,16.1,77.0,6.0,1016.9,217492.79,,,,,,,,,,,,,,
2022-11-24,12.4,19.2,2.8,22.0,14.3,73,7,1021.0,17.0,63.0,7.0,1020.4,216644.01,11.7375,20.141666666666673,3.0416666666666665,37.375,15.283333333333333,67.75,10.875,1012.8166666666664,18.3875,58.875,12.25,1011.8541666666665,3.4566666666666666,4092.7120833333342
2022-11-25,11.6,20.6,0.0,22.0,14.3,75,9,1021.7,19.2,51.0,6.0,1020.0,204810.04,11.866666666666667,20.445833333333336,2.9166666666666665,36.458333333333336,15.379166666666668,68.20833333333333,10.708333333333334,1014.0833333333333,18.6375,58.54166666666666,12.041666666666664,1013.0416666666665,1.5008333333333332,4100.730416666668
2022-11-26,10.9,27.3,0.0,54.0,16.8,66,11,1011.9,27.0,33.0,20.0,1004.6,180029.09,12.033333333333333,20.929166666666667,2.8000000000000003,36.91666666666666,15.620833333333335,68.25,10.791666666666664,1014.2999999999997,19.133333333333333,57.66666666666666,12.333333333333336,1012.8833333333333,0.29249999999999987,4103.372916666668
2022-11-27,14.7,20.5,0.2,37.0,16.0,71,9,1004.5,19.5,51.0,9.0,1003.7,175137.85,12.266666666666666,21.141666666666666,2.7916666666666665,37.16666666666666,15.808333333333335,68.29166666666667,10.791666666666664,1013.6875,19.370833333333334,57.0,12.333333333333336,1012.15,-1.2916666666666667,4099.191666666668
2022-11-28,9.7,18.8,0.2,31.0,14.0,61,11,1009.1,18.1,46.0,7.0,1008.0,203508.67,12.245833333333332,21.183333333333326,2.7916666666666665,37.458333333333336,15.879166666666668,67.33333333333333,11.0,1012.8958333333333,19.420833333333334,56.58333333333334,12.25,1011.375,-2.9029166666666666,4095.2208333333347
2022-11-29,12.2,18.4,0.4,33.0,15.5,65,11,1015.6,17.7,52.0,13.0,1016.9,198748.03,12.262499999999998,21.004166666666666,2.8083333333333336,37.54166666666666,15.941666666666668,66.79166666666667,11.083333333333336,1012.4499999999997,19.375,56.04166666666666,12.333333333333336,1011.1125,-4.4870833333333335,4104.487916666668
2022-11-30,11.6,18.4,0.0,31.0,16.0,58,9,1019.8,17.9,52.0,9.0,1017.7,203646.69,12.262499999999998,20.641666666666666,2.8083333333333336,37.458333333333336,15.862500000000002,66.58333333333333,11.083333333333336,1012.3083333333329,19.029166666666665,56.83333333333334,12.541666666666664,1011.0208333333335,-6.134583333333333,4124.395000000001
2022-12-01,12.1,18.8,0.0,35.0,17.0,73,11,1018.8,18.1,63.0,17.0,1017.7,205939.41,12.1875,20.345833333333328,2.8083333333333336,37.91666666666666,15.750000000000002,66.95833333333333,11.375,1012.2124999999997,18.941666666666666,56.70833333333334,12.875,1010.9625,-7.722916666666666,4152.1429166666685
2022-12-02,9.4,21.4,0.0,26.0,15.0,74,6,1018.3,20.4,62.0,13.0,1015.4,202092.68,11.970833333333333,20.087499999999995,2.8083333333333336,37.54166666666666,15.466666666666667,67.66666666666667,11.0,1012.2166666666664,18.716666666666665,57.5,13.166666666666664,1010.9416666666667,-9.970833333333333,4177.844166666669
2022-12-03,13.6,31.0,0.0,31.0,21.3,68,7,1015.7,28.8,42.0,13.0,1013.0,207301.71,11.887499999999998,20.158333333333328,2.691666666666667,37.375,15.487500000000002,67.70833333333333,10.75,1012.0874999999997,18.7375,57.70833333333334,13.166666666666664,1010.8416666666667,-11.554999999999998,4218.555000000001
2022-12-04,17.3,34.5,0.0,44.0,27.2,43,9,1011.7,32.5,28.0,19.0,1007.8,218658.87,11.783333333333333,20.495833333333334,2.691666666666667,36.958333333333336,15.629166666666668,67.41666666666667,10.416666666666666,1012.0,19.045833333333327,57.04166666666666,13.125,1010.6791666666667,-10.560416666666663,4264.005416666669
2022-12-05,16.2,18.1,0.0,52.0,16.6,77,13,1009.6,16.3,70.0,17.0,1011.7,213809.04,11.679166666666665,20.40833333333333,2.566666666666667,37.875,15.54166666666667,67.29166666666667,10.5,1011.9416666666664,18.966666666666665,56.58333333333334,13.208333333333336,1010.7333333333332,-10.602499999999997,4306.281666666669
2022-12-06,13.4,20.0,1.2,31.0,15.5,71,17,1012.1,19.2,56.0,13.0,1008.9,208764.65,11.64583333333333,20.4375,2.6166666666666667,38.083333333333336,15.533333333333335,67.375,10.916666666666664,1011.8499999999997,19.033333333333328,56.16666666666666,13.208333333333336,1010.65,-9.969999999999997,4344.562083333336
2022-12-07,13.1,19.3,0.2,41.0,16.4,68,7,1004.5,18.4,62.0,15.0,1004.4,204764.11,11.55,20.20833333333333,2.3500000000000005,37.958333333333336,15.420833333333334,66.54166666666667,10.833333333333336,1011.9624999999997,18.7875,56.29166666666666,13.041666666666664,1010.8916666666668,-10.735833333333332,4388.352916666669
2022-12-08,9.4,16.0,0.6,48.0,10.8,72,13,1013.8,15.5,48.0,20.0,1015.2,209028.17,11.4,20.15,1.8083333333333336,38.25,15.233333333333334,66.29166666666667,10.833333333333336,1012.6583333333333,18.808333333333326,54.66666666666666,13.333333333333336,1011.375,-10.807916666666666,4434.9691666666695
2022-12-09,9.9,17.6,2.4,41.0,14.6,44,15,1018.1,16.4,51.0,17.0,1017.3,203832.63,11.479166666666664,20.3375,1.316666666666667,38.16666666666666,15.420833333333334,65.125,11.166666666666664,1012.8666666666664,19.04166666666666,53.79166666666666,13.333333333333336,1011.5500000000003,-11.180416666666666,4492.317083333336
2022-12-10,8.1,25.9,0.0,31.0,14.2,63,7,1017.1,24.8,32.0,11.0,1012.0,183406.37,11.516666666666666,20.8,1.2916666666666672,37.66666666666666,15.554166666666667,65.08333333333333,11.0,1012.9499999999997,19.495833333333326,53.0,13.166666666666664,1011.3875000000003,-10.807916666666666,4550.3995833333365
2022-12-11,14.0,28.6,0.0,54.0,20.7,53,13,1005.4,25.7,35.0,20.0,1002.0,195501.27,11.699999999999998,21.3125,1.158333333333334,38.54166666666666,15.870833333333332,64.33333333333333,11.0,1012.3708333333333,19.920833333333327,51.83333333333334,13.458333333333336,1010.6916666666667,-13.161666666666667,4606.9066666666695
2022-12-12,11.5,17.3,17.4,44.0,12.6,84,9,1001.0,16.0,59.0,22.0,1002.1,207480.29,11.879166666666665,21.0125,1.8833333333333335,39.208333333333336,15.875,64.91666666666667,11.083333333333336,1011.7208333333333,19.670833333333327,52.33333333333334,13.916666666666664,1010.325,-11.205833333333333,4650.097500000003
2022-12-13,11.6,17.9,3.2,44.0,14.2,56,15,1008.7,12.2,86.0,13.0,1008.0,216838.32,11.841666666666667,20.829166666666666,2.016666666666667,38.583333333333336,15.6625,65.08333333333333,11.333333333333336,1011.9541666666668,19.41666666666666,53.20833333333334,13.666666666666664,1010.7583333333333,-9.229166666666666,4683.776666666669
2022-12-14,9.0,15.8,6.2,50.0,13.7,64,19,1013.2,12.4,77.0,19.0,1015.5,213879.78,11.725,20.629166666666666,1.608333333333334,38.583333333333336,15.637499999999998,65.125,11.5,1012.5791666666668,19.125,54.91666666666666,13.833333333333336,1011.525,-9.191666666666666,4704.603750000003
2022-12-15,11.1,16.6,3.4,39.0,14.8,58,11,1017.0,15.7,57.0,15.0,1016.5,210304.05,11.795833333333334,20.745833333333326,1.7000000000000004,37.833333333333336,15.7875,65.41666666666667,10.958333333333336,1013.2125,19.287499999999994,54.625,13.75,1012.0,-9.147499999999999,4726.218333333336
2022-12-16,10.8,20.3,0.0,35.0,15.7,58,11,1019.4,19.2,47.0,13.0,1019.0,198101.44,11.883333333333335,20.83333333333333,1.6166666666666671,37.75,15.9125,65.0,10.875,1013.4833333333336,19.337499999999995,54.16666666666666,13.916666666666664,1012.2791666666667,-7.7870833333333325,4727.563750000002
2022-12-17,10.9,22.3,0.2,41.0,16.5,61,15,1023.0,21.4,44.0,19.0,1021.4,172182.19,11.854166666666664,21.025,1.6000000000000003,38.208333333333336,15.9875,64.83333333333333,11.041666666666664,1013.7916666666667,19.558333333333326,52.79166666666666,14.458333333333336,1012.4666666666667,-10.669166666666664,4734.982916666669
2022-12-18,11.7,23.7,0.0,37.0,16.5,54,15,1024.9,22.6,41.0,17.0,1021.6,159249.92,11.825,21.2125,1.483333333333334,38.833333333333336,16.079166666666666,64.04166666666667,11.375,1013.9541666666668,19.79166666666666,51.875,14.875,1012.5166666666668,-11.106249999999998,4736.527916666669
2022-12-19,9.8,26.0,0.0,33.0,16.6,67,4,1025.5,22.4,39.0,17.0,1022.3,192161.49,11.75,21.4375,1.483333333333334,39.29166666666666,16.175,63.70833333333334,11.166666666666664,1014.1125000000003,19.924999999999994,51.375,15.333333333333336,1012.6125,-9.769999999999998,4735.142916666669
2022-12-20,10.2,27.3,0.0,31.0,16.4,64,7,1022.0,26.3,32.0,15.0,1017.6,199467.37,11.720833333333333,21.4375,1.483333333333334,38.333333333333336,16.15833333333333,63.625,11.0,1014.5333333333334,19.895833333333325,51.33333333333334,15.125,1013.1541666666667,-8.747499999999997,4741.209166666669
2022-12-21,12.9,29.4,0.0,30.0,18.2,64,7,1015.3,28.2,27.0,11.0,1011.6,213997.91,11.645833333333336,21.80833333333333,1.4750000000000003,38.04166666666666,16.249999999999996,63.33333333333334,10.916666666666664,1014.9833333333336,20.25833333333333,50.33333333333334,15.208333333333336,1013.4833333333332,-7.247916666666664,4754.257500000002
2022-12-22,16.8,25.2,5.2,26.0,17.4,91,6,1011.6,21.5,82.0,4.0,1008.5,221897.15,11.941666666666668,22.075,1.6833333333333338,37.833333333333336,16.391666666666662,64.58333333333333,10.708333333333334,1015.0875,20.399999999999988,51.83333333333334,15.083333333333336,1013.5041666666666,-5.955416666666665,4760.850833333337
2022-12-23,15.7,23.1,1.6,28.0,18.2,97,4,1011.7,20.2,76.0,13.0,1009.7,205399.43,12.0875,22.27083333333333,1.733333333333334,37.625,16.504166666666666,65.91666666666667,10.416666666666666,1014.9250000000003,20.50416666666666,52.83333333333334,15.083333333333336,1013.2041666666664,-5.201249999999998,4757.387916666669
2022-12-24,16.7,23.5,0.0,31.0,18.9,66,9,1011.7,21.6,53.0,13.0,1010.8,178625.36,12.3,22.48333333333333,1.733333333333334,37.625,16.624999999999996,66.25,10.416666666666666,1014.5875000000003,20.658333333333328,52.875,15.25,1012.9166666666664,-3.9145833333333315,4742.737083333336
2022-12-25,12.9,31.9,0.0,24.0,19.5,66,7,1013.1,30.3,31.0,11.0,1012.3,182750.79,12.33333333333333,23.02916666666667,1.733333333333334,37.16666666666666,16.72916666666666,65.95833333333333,10.25,1014.3500000000003,21.166666666666657,51.54166666666666,15.0,1012.6916666666664,-2.697499999999998,4724.647083333336
2022-12-26,17.0,27.5,0.0,28.0,22.6,58,11,1016.6,23.6,67.0,13.0,1016.6,211616.9,12.65,23.28333333333333,1.733333333333334,37.25,17.04583333333333,65.29166666666667,10.458333333333334,1014.2791666666667,21.299999999999994,51.75,15.0,1012.7416666666664,-2.0308333333333315,4711.026250000003
2022-12-27,17.7,37.3,0.0,33.0,25.1,62,7,1018.1,36.5,26.0,15.0,1013.1,256405.63,12.820833333333333,23.54583333333333,1.733333333333334,37.333333333333336,17.204166666666662,65.04166666666667,10.458333333333334,1014.3791666666667,21.62083333333333,51.08333333333334,15.083333333333336,1012.7458333333328,-0.07624999999999815,4691.722916666669
2022-12-28,25.0,27.6,0.0,46.0,27.6,42,9,1008.2,18.0,71.0,13.0,1013.4,228754.05,13.141666666666666,23.258333333333336,1.733333333333334,37.41666666666666,17.22083333333333,65.0,10.458333333333334,1014.2333333333336,21.016666666666666,52.875,14.833333333333336,1012.9791666666664,-0.6995833333333316,4672.117500000002
2022-12-29,14.0,19.3,0.8,33.0,15.8,58,17,1019.0,18.4,55.0,13.0,1017.5,180768.77,13.049999999999995,23.30833333333333,1.7666666666666673,36.625,17.187499999999996,64.20833333333333,10.625,1014.625,21.10416666666666,52.25,14.666666666666664,1013.220833333333,-0.2749999999999982,4664.422083333336
2022-12-30,12.6,26.2,0.0,30.0,18.2,70,4,1015.9,25.0,52.0,11.0,1012.5,195514.31,13.016666666666666,23.566666666666666,1.7166666666666668,36.583333333333336,17.299999999999994,64.16666666666667,10.083333333333334,1014.7833333333336,21.34583333333332,52.08333333333334,14.583333333333336,1013.3708333333328,1.9175000000000015,4670.852500000002
2022-12-31,17.9,30.3,0.0,30.0,20.6,78,4,1014.3,27.4,54.0,11.0,1010.4,205749.25,13.216666666666665,24.025,1.7083333333333337,36.125,17.474999999999998,64.58333333333333,9.958333333333334,1015.1916666666671,21.72083333333332,51.75,14.416666666666664,1013.6208333333328,3.107916666666668,4689.012500000002
2023-01-01,18.4,35.9,0.0,31.0,24.6,65,7,1010.8,35.3,34.0,11.0,1007.4,240293.3,13.591666666666665,24.85416666666667,1.6833333333333336,35.416666666666664,18.05,64.29166666666667,9.708333333333334,1015.0666666666671,22.54583333333332,51.16666666666666,14.041666666666664,1013.295833333333,3.6670833333333346,4703.198750000002
2023-01-02,22.1,32.0,6.4,52.0,28.6,47,22,1005.9,21.1,80.0,13.0,1006.6,227439.92,14.1,25.454166666666666,1.8500000000000003,35.875,18.633333333333333,64.41666666666667,10.0,1014.5583333333336,22.741666666666656,52.375,13.875,1012.8499999999997,4.038333333333335,4697.594166666669
2023-01-03,15.2,21.1,0.2,37.0,17.4,68,11,1010.2,20.5,58.0,17.0,1008.9,196275.73,14.39583333333333,25.254166666666666,1.8583333333333336,36.125,18.766666666666666,64.625,10.166666666666666,1014.2708333333337,22.56249999999999,53.45833333333334,14.125,1012.720833333333,3.059166666666668,4688.479166666669
2023-01-04,15.0,18.7,0.0,52.0,15.6,62,13,1010.7,16.0,76.0,22.0,1011.2,193968.21,14.437499999999998,24.84166666666667,1.8583333333333336,36.04166666666666,18.554166666666667,65.0,10.166666666666666,1014.4916666666671,22.15833333333332,55.16666666666666,14.208333333333336,1013.1041666666664,-0.4433333333333322,4665.931250000002
2023-01-05,14.1,21.6,1.0,39.0,18.4,66,13,1014.9,20.8,65.0,15.0,1014.3,186610.74,14.545833333333333,25.02083333333334,1.1750000000000005,35.833333333333336,18.795833333333327,64.25,10.333333333333334,1015.0708333333338,22.35833333333332,55.41666666666666,13.916666666666664,1013.6124999999997,-3.2741666666666656,4652.325416666669
2023-01-06,13.3,25.6,0.0,37.0,18.4,65,15,1017.7,25.4,39.0,17.0,1015.0,181070.73,14.616666666666665,25.34166666666667,1.0416666666666672,35.541666666666664,18.970833333333328,64.625,10.333333333333334,1015.4458333333338,22.90833333333332,53.45833333333334,14.083333333333336,1013.9041666666664,-5.9658333333333315,4639.721250000002
